arm,standard,alpha_convict,alpha_discharge,verdicts_per_capture,verdict_rate,verdict_accuracy,refer_rate,false_conviction_rate,false_discharge_rate,guaranteed,violated
evidential_capture,preponderance,0.5,0.5,0.34629478827361565,0.8505,0.8465608465608465,0.14949999999999997,0.13420245398773006,0.1235632183908046,True,False
evidential_capture,headline (prep / clear+conv),0.5,0.2,0.21859090162588274,0.6655,0.830954169797145,0.3345,0.16180981595092025,0.020114942528735632,True,False
evidential_capture,clear and convincing,0.2,0.2,0.135626674185817,0.481,0.9511434511434511,0.519,0.023006134969325152,0.02442528735632184,True,False
evidential_capture,clear+conv / beyond doubt,0.2,0.05,0.06934594168636722,0.264,0.9393939393939394,0.736,0.023006134969325152,0.0028735632183908046,True,False
evidential_capture,beyond reasonable doubt,0.05,0.05,0.03251106894370651,0.1285,0.980544747081712,0.8714999999999999,0.0023006134969325155,0.0028735632183908046,True,False
evidential_capture,near certainty,0.01,0.01,0.0031253906738342293,0.0125,1.0,0.9875,0.0,0.0,True,False
confidence_threshold_selective,preponderance,0.5,0.5,0.293,0.293,0.8498293515358362,0.7070000000000001,0.04294478527607362,0.04597701149425287,False,False
confidence_threshold_selective,headline (prep / clear+conv),0.5,0.2,0.293,0.293,0.8498293515358362,0.7070000000000001,0.04294478527607362,0.04597701149425287,False,False
confidence_threshold_selective,clear and convincing,0.2,0.2,0.293,0.293,0.8498293515358362,0.7070000000000001,0.04294478527607362,0.04597701149425287,False,False
confidence_threshold_selective,clear+conv / beyond doubt,0.2,0.05,0.293,0.293,0.8498293515358362,0.7070000000000001,0.04294478527607362,0.04597701149425287,False,False
confidence_threshold_selective,beyond reasonable doubt,0.05,0.05,0.293,0.293,0.8498293515358362,0.7070000000000001,0.04294478527607362,0.04597701149425287,False,False
confidence_threshold_selective,near certainty,0.01,0.01,0.293,0.293,0.8498293515358362,0.7070000000000001,0.04294478527607362,0.04597701149425287,False,True
