ablation,setting,verdicts_per_capture,verdict_rate,verdict_accuracy,refer_rate,mean_captures,false_conviction_rate,false_discharge_rate,violated
evidence construction,"conformal, stratified (provable)",0.12456546929316338,0.43,0.8775193798449612,0.5700000000000001,3.452,0.07778915046059365,0.0057361376673040155,False
evidence construction,"likelihood ratio, stratified",0.21426238432226455,0.656,0.8257113821138211,0.344,3.0616666666666665,0.16274309109518936,0.02390057361376673,False
evidence construction,"conformal, marginal (unstratified)",0.127030444509289,0.43533333333333335,0.8889739663093414,0.5646666666666667,3.427,0.07113613101330604,0.0057361376673040155,False
betting strategy,degradation-aware stake,0.21426238432226455,0.656,0.8257113821138211,0.344,3.0616666666666665,0.16274309109518936,0.02390057361376673,False
betting strategy,constant stake 0.5,0.2799063693482814,0.7573333333333333,0.8164612676056338,0.2426666666666667,2.7056666666666667,0.19191402251791198,0.040152963671128104,False
betting strategy,constant stake 0.8,0.35416954778039,0.8536666666666667,0.8176493557204217,0.14633333333333332,2.4103333333333334,0.20624360286591606,0.06118546845124283,False
betting strategy,constant stake 1.0 (all-in),0.4015414840562188,0.8856666666666667,0.8042905532555513,0.11433333333333329,2.2056666666666667,0.22210849539406347,0.08221797323135756,False
confidence head quality,oracle head (noise 0.00),0.22995309358945723,0.6863333333333334,0.8358426420592521,0.31366666666666665,2.9846666666666666,0.16223132036847493,0.020076481835564052,False
confidence head quality,head noise 0.06,0.22219777802221977,0.6733333333333333,0.8371287128712871,0.32666666666666666,3.0303333333333335,0.1555783009211873,0.02390057361376673,False
confidence head quality,head noise 0.12,0.21426238432226455,0.656,0.8257113821138211,0.344,3.0616666666666665,0.16274309109518936,0.02390057361376673,False
confidence head quality,head noise 0.25,0.177943807218773,0.5636666666666666,0.8320520402128918,0.43633333333333335,3.167666666666667,0.14022517911975435,0.009560229445506692,False
confidence head quality,head noise 0.40,0.12524347487339307,0.42866666666666664,0.8297045101088647,0.5713333333333334,3.4226666666666667,0.109007164790174,0.0057361376673040155,False
instruction side effects,side effects off (coupling 0.0),0.21830678594806896,0.667,0.8255872063968016,0.33299999999999996,3.0553333333333335,0.16581371545547594,0.02390057361376673,False
instruction side effects,half strength (0.5),0.21626335295400043,0.6613333333333333,0.8261088709677419,0.33866666666666667,3.058,0.16427840327533266,0.022944550669216062,False
instruction side effects,as specified (1.0),0.21426238432226455,0.656,0.8257113821138211,0.344,3.0616666666666665,0.16274309109518936,0.02390057361376673,False
instruction side effects,double (2.0),0.2107433532284319,0.6473333333333333,0.8269824922760041,0.3526666666666667,3.0716666666666668,0.16069600818833163,0.021032504780114723,False
persistence,i.i.d. corruption filter,0.1974844119544184,0.6123333333333333,0.8290691344583561,0.3876666666666667,3.1006666666666667,0.15250767656090072,0.015296367112810707,False
persistence,shot-to-shot noise only (rho 0.00),0.2104634755237165,0.6463333333333333,0.8261990716864364,0.3536666666666667,3.071,0.1586489252814739,0.02581261950286807,False
persistence,weak memory (0.40),0.21164078618742535,0.6496666666666666,0.8245253976398152,0.3503333333333334,3.0696666666666665,0.16223132036847493,0.02390057361376673,False
persistence,as specified (0.85),0.21426238432226455,0.656,0.8257113821138211,0.344,3.0616666666666665,0.16274309109518936,0.02390057361376673,False
persistence,near-frozen scene (0.98),0.21470588235294116,0.657,0.8280060882800608,0.34299999999999997,3.06,0.16120777891504606,0.022944550669216062,False
stratum count,1 strata,0.20667031164570804,0.63,0.834920634920635,0.37,3.0483333333333333,0.15097236438075742,0.016252390057361378,False
stratum count,2 strata,0.21310578711300732,0.6493333333333333,0.8316221765913757,0.3506666666666667,3.047,0.15660184237461616,0.021032504780114723,False
stratum count,4 strata,0.21426238432226455,0.656,0.8257113821138211,0.344,3.0616666666666665,0.16274309109518936,0.02390057361376673,False
stratum count,8 strata,0.2156710628394104,0.6486666666666666,0.8268242548818089,0.3513333333333334,3.0076666666666667,0.15506653019447286,0.032504780114722756,False
stratum count,16 strata,0.2104918747955066,0.6433333333333333,0.816580310880829,0.3566666666666667,3.0563333333333333,0.16632548618219037,0.027724665391969407,False
