axis,setting,value,clinic_auc,vpc_evidential_capture,vpc_untargeted_evidential,vpc_fixed_retake,vpc_single_shot,acc_evidential_capture,acc_untargeted_evidential,acc_fixed_retake,acc_single_shot,margin_over_untargeted,order_preserved,violations
clinic difficulty,difficulty 0.2,0.2,0.7875076836099433,0.2735549132947977,0.24628955474656958,0.1714,0.182,0.837823560486001,0.8067083570210347,0.823803967327888,0.7318681318681318,0.02726535854822812,False,
clinic difficulty,difficulty 0.35,0.35,0.7783231247447853,0.23948264125255275,0.21104327050703478,0.1556,0.1524,0.8266060261512223,0.8006289308176101,0.8161953727506427,0.7086614173228346,0.028439370745517972,True,
clinic difficulty,difficulty 0.5,0.5,0.7755501528957179,0.21692227709903822,0.18749210360075805,0.1461,0.1052,0.8286399041342121,0.8045822102425876,0.813141683778234,0.6920152091254753,0.02943017349828017,True,
clinic difficulty,difficulty 0.65,0.65,0.7619697670934271,0.19788481141692152,0.15928011753183155,0.1278,0.1096,0.8351577591757888,0.8285933897002306,0.8395931142410016,0.7299270072992701,0.03860469388508997,True,
clinic difficulty,difficulty 0.8,0.8,0.7723479286185397,0.13666820702402957,0.10160547883686988,0.09,0.0484,0.8579881656804734,0.850828729281768,0.8533333333333334,0.71900826446281,0.03506272818715969,True,
prevalence,prevalence 0.1,0.1,0.7755501528957179,0.19302152932442465,0.16705083100812812,0.1344,0.0648,0.7608974358974359,0.7312999273783588,0.7455357142857143,0.3395061728395062,0.02597069831629653,True,
prevalence,prevalence 0.2,0.2,0.7755501528957179,0.2015640766902119,0.17548403009002342,0.1394,0.082,0.785982478097622,0.763879128601546,0.776183644189383,0.5219512195121951,0.026080046600188478,True,
prevalence,prevalence 0.35,0.35,0.7755501528957179,0.21692227709903822,0.18749210360075805,0.1461,0.1052,0.8286399041342121,0.8045822102425876,0.813141683778234,0.6920152091254753,0.02943017349828017,True,
prevalence,prevalence 0.5,0.5,0.7755501528957179,0.2345447230789862,0.20471204188481676,0.1541,0.1332,0.8679245283018868,0.8523017902813299,0.8604802076573653,0.8108108108108109,0.02983268119416943,True,
reader quality,clinic AUC 0.7,0.7,0.6954767780634676,0.10015579790785667,0.07034573017777293,0.0643,0.038,0.7666666666666667,0.7224806201550388,0.7247278382581649,0.5684210526315789,0.02981006773008374,True,
reader quality,clinic AUC 0.74,0.74,0.7327140165020033,0.1550415612576798,0.11872948898265354,0.1007,0.0968,0.7933177933177933,0.7413622902270484,0.7437934458788481,0.6074380165289256,0.03631207227502625,True,
reader quality,clinic AUC 0.78,0.78,0.7755501528957179,0.21692227709903822,0.18749210360075805,0.1461,0.1052,0.8286399041342121,0.8045822102425876,0.813141683778234,0.6920152091254753,0.02943017349828017,True,
reader quality,clinic AUC 0.84,0.84,0.8305020484437017,0.30762264150943397,0.28038207200587806,0.1835,0.2,0.879784102060844,0.8611111111111112,0.8828337874659401,0.836,0.02724056950355591,False,
case difficulty,"Beta(1.5, 6.0)","(1.5, 6.0)",0.7755501528957179,0.23373876255949233,0.20545454545454545,0.1557,0.1132,0.8755656108597285,0.8767383059418458,0.8863198458574181,0.7915194346289752,0.028284217104946885,True,
case difficulty,"Beta(2.0, 4.0)","(2.0, 4.0)",0.7755501528957179,0.21692227709903822,0.18749210360075805,0.1461,0.1052,0.8286399041342121,0.8045822102425876,0.813141683778234,0.6920152091254753,0.02943017349828017,True,
case difficulty,"Beta(3.0, 3.0)","(3.0, 3.0)",0.7755501528957179,0.19429226653076825,0.1680682661390057,0.1332,0.1008,0.7390163934426229,0.7292126563649742,0.7394894894894894,0.6309523809523809,0.026224000391762564,True,
case difficulty,"Beta(5.0, 2.5)","(5.0, 2.5)",0.7755501528957179,0.1877975444750689,0.15896805896805896,0.1273,0.0988,0.6557705136757839,0.6468315301391035,0.6512175962293795,0.5222672064777328,0.02882948550700995,True,
